Date,Actual Temperature,Forecasted Temperature (MSE)
2021-12-13,14.9,14.934358675426703
2021-12-14,9.3,9.117085376969088
2021-12-15,10.0,9.244820363196107
2021-12-16,11.9,11.20656002913116
2021-12-17,12.0,11.56414359310286
2021-12-18,9.9,9.560129026120773
2021-12-19,8.0,7.509315957071696
2021-12-20,14.1,13.387396214030336
2021-12-21,10.3,10.277338580463468
2021-12-22,10.6,10.265372344865067
2021-12-23,10.4,10.096292210267373
2021-12-24,14.4,14.06671789788354
2021-12-25,16.0,16.077755855835637
2021-12-26,18.1,18.350861624605642
2021-12-27,17.5,17.961594655268133
2021-12-28,16.5,16.89112443936025
2021-12-29,15.3,15.560876218227042
2021-12-30,13.1,13.226372536473283
2021-12-31,14.4,14.268548640015313
