Date,Forecast_Temp
2022-02-01,11.580000000000002
2022-02-02,11.756
2022-02-03,11.4672
2022-02-04,12.00064
2022-02-05,12.100767999999999
2022-02-06,11.780921600000003
2022-02-07,11.821105919999999
2022-02-08,11.834127104
2022-02-09,11.907512524800001
2022-02-10,11.88888702976
2022-02-11,11.846510835712
2022-02-12,11.859628682854398
2022-02-13,11.86733323542528
2022-02-14,11.873974461710336
2022-02-15,11.867266849092402
2022-02-16,11.862942812958883
2022-02-17,11.86622920840826
2022-02-18,11.867549313519032
2022-02-19,11.867592529137784
2022-02-20,11.866316142623273
2022-02-21,11.866126001329445
2022-02-22,11.866762639003559
2022-02-23,11.86686932512262
2022-02-24,11.866733327443338
2022-02-25,11.866561487104448
2022-02-26,11.866610556000683
2022-02-27,11.86670746693493
2022-02-28,11.866696432521204
2022-03-01,11.86666185400092
2022-03-02,11.866647559312437
2022-03-03,11.866664773754035
2022-03-04,11.866675617304708
2022-03-05,11.866669247378661
2022-03-06,11.86666381035015
2022-03-07,11.866664201619997
2022-03-08,11.86666753008151
2022-03-09,11.866668081347006
2022-03-10,11.866666574155467
2022-03-11,11.866666039510827
2022-03-12,11.86666648534296
2022-03-13,11.866666942087553
2022-03-14,11.866666824488764
2022-03-15,11.866666573117115
2022-03-16,11.866666572909443
2022-03-17,11.86666667958917
2022-03-18,11.86666671843841
2022-03-19,11.866666673708579
2022-03-20,11.866666643552543
2022-03-21,11.866666657639628
2022-03-22,11.866666674585666
2022-03-23,11.866666673584964
2022-03-24,11.866666664614275
2022-03-25,11.866666662795415
2022-03-26,11.86666666664399
2022-03-27,11.86666666844486
2022-03-28,11.866666667216702
2022-03-29,11.866666665943049
2022-03-30,11.866666666208804
2022-03-31,11.866666666891481
2022-04-01,11.86666666694098
2022-04-02,11.866666666640203
2022-04-03,11.866666666524903
2022-04-04,11.866666666641274
2022-04-05,11.866666666727768
2022-04-06,11.866666666695025
2022-04-07,11.866666666645834
2022-04-08,11.86666666664696
2022-04-09,11.866666666671373
2022-04-10,11.866666666677391
2022-04-11,11.866666666667316
2022-04-12,11.866666666661775
2022-04-13,11.866666666664964
2022-04-14,11.866666666668563
2022-04-15,11.866666666668001
2022-04-16,11.866666666666124
2022-04-17,11.866666666665887
2022-04-18,11.866666666666706
2022-04-19,11.866666666667054
2022-04-20,11.866666666666754
2022-04-21,11.866666666666505
2022-04-22,11.866666666666582
2022-04-23,11.86666666666672
2022-04-24,11.866666666666722
2022-04-25,11.866666666666656
2022-04-26,11.866666666666637
2022-04-27,11.866666666666664
2022-04-28,11.86666666666668
2022-04-29,11.866666666666672
2022-04-30,11.866666666666662
2022-05-01,11.866666666666664
2022-05-02,11.866666666666669
2022-05-03,11.86666666666667
2022-05-04,11.866666666666665
2022-05-05,11.866666666666667
2022-05-06,11.866666666666669
2022-05-07,11.866666666666669
2022-05-08,11.866666666666667
2022-05-09,11.866666666666667
2022-05-10,11.866666666666667
2022-05-11,11.866666666666669
2022-05-12,11.866666666666667
2022-05-13,11.866666666666667
2022-05-14,11.866666666666667
2022-05-15,11.866666666666667
2022-05-16,11.866666666666667
2022-05-17,11.866666666666667
2022-05-18,11.866666666666667
2022-05-19,11.866666666666667
2022-05-20,11.866666666666667
2022-05-21,11.866666666666667
2022-05-22,11.866666666666667
2022-05-23,11.866666666666667
2022-05-24,11.866666666666667
2022-05-25,11.866666666666667
2022-05-26,11.866666666666667
2022-05-27,11.866666666666667
2022-05-28,11.866666666666667
2022-05-29,11.866666666666667
2022-05-30,11.866666666666667
2022-05-31,11.866666666666667
2022-06-01,11.866666666666667
2022-06-02,11.866666666666667
2022-06-03,11.866666666666667
2022-06-04,11.866666666666667
2022-06-05,11.866666666666667
2022-06-06,11.866666666666667
2022-06-07,11.866666666666667
2022-06-08,11.866666666666667
2022-06-09,11.866666666666667
2022-06-10,11.866666666666667
2022-06-11,11.866666666666667
2022-06-12,11.866666666666667
2022-06-13,11.866666666666667
2022-06-14,11.866666666666667
2022-06-15,11.866666666666667
2022-06-16,11.866666666666667
2022-06-17,11.866666666666667
2022-06-18,11.866666666666667
2022-06-19,11.866666666666667
2022-06-20,11.866666666666667
2022-06-21,11.866666666666667
2022-06-22,11.866666666666667
2022-06-23,11.866666666666667
2022-06-24,11.866666666666667
2022-06-25,11.866666666666667
2022-06-26,11.866666666666667
2022-06-27,11.866666666666667
2022-06-28,11.866666666666667
2022-06-29,11.866666666666667
2022-06-30,11.866666666666667
2022-07-01,11.866666666666667
2022-07-02,11.866666666666667
2022-07-03,11.866666666666667
2022-07-04,11.866666666666667
2022-07-05,11.866666666666667
2022-07-06,11.866666666666667
2022-07-07,11.866666666666667
2022-07-08,11.866666666666667
2022-07-09,11.866666666666667
2022-07-10,11.866666666666667
2022-07-11,11.866666666666667
2022-07-12,11.866666666666667
2022-07-13,11.866666666666667
2022-07-14,11.866666666666667
2022-07-15,11.866666666666667
2022-07-16,11.866666666666667
2022-07-17,11.866666666666667
2022-07-18,11.866666666666667
2022-07-19,11.866666666666667
2022-07-20,11.866666666666667
2022-07-21,11.866666666666667
2022-07-22,11.866666666666667
2022-07-23,11.866666666666667
2022-07-24,11.866666666666667
2022-07-25,11.866666666666667
2022-07-26,11.866666666666667
2022-07-27,11.866666666666667
2022-07-28,11.866666666666667
2022-07-29,11.866666666666667
2022-07-30,11.866666666666667
2022-07-31,11.866666666666667
2022-08-01,11.866666666666667
2022-08-02,11.866666666666667
2022-08-03,11.866666666666667
2022-08-04,11.866666666666667
2022-08-05,11.866666666666667
