Date,Forecast_Temp_Weighted
2022-02-01,11.866666666666667
2022-02-02,11.962222222222222
2022-02-03,12.011851851851851
2022-02-04,12.160543209876542
2022-02-05,12.14467489711934
2022-02-06,12.079480932784634
2022-02-07,12.096243987197072
2022-02-08,12.104407108672456
2022-02-09,12.10635648630798
2022-02-10,12.10278530603397
2022-02-11,12.101636180573195
2022-02-12,12.102896652697853
2022-02-13,12.103100265678158
2022-02-14,12.102928238618514
2022-02-15,12.10278599207194
2022-02-16,12.10282487985581
2022-02-17,12.102876684498435
2022-02-18,12.102866510736426
2022-02-19,12.102854276933712
2022-02-20,12.102853548859542
2022-02-21,12.102857508872967
2022-02-22,12.102858285105029
2022-02-23,12.1028571448133
2022-02-24,12.102856851050554
2022-02-25,12.102857083761767
2022-02-26,12.102857222435597
2022-02-27,12.10285717167389
2022-02-28,12.102857123087436
2022-03-01,12.102857132534242
2022-03-02,12.102857146578371
2022-03-03,12.102857146538302
2022-03-04,12.102857142297097
2022-03-05,12.102857141701982
2022-03-06,12.102857142866945
2022-03-07,12.10285714317926
2022-03-08,12.102857142906835
2022-03-09,12.102857142770208
2022-03-10,12.102857142830135
2022-03-11,12.102857142878499
2022-03-12,12.102857142867773
2022-03-13,12.102857142852702
2022-03-14,12.102857142853372
2022-03-15,12.102857142857875
2022-03-16,12.102857142858333
2022-03-17,12.102857142857097
2022-03-18,12.102857142856791
2022-03-19,12.102857142857097
2022-03-20,12.102857142857232
2022-03-21,12.102857142857165
2022-03-22,12.102857142857115
2022-03-23,12.102857142857127
2022-03-24,12.102857142857143
2022-03-25,12.102857142857141
2022-03-26,12.102857142857138
2022-03-27,12.102857142857136
2022-03-28,12.102857142857138
2022-03-29,12.102857142857138
2022-03-30,12.102857142857138
2022-03-31,12.102857142857136
2022-04-01,12.102857142857138
2022-04-02,12.102857142857138
2022-04-03,12.102857142857136
2022-04-04,12.102857142857136
2022-04-05,12.102857142857138
2022-04-06,12.102857142857136
2022-04-07,12.102857142857136
2022-04-08,12.102857142857136
2022-04-09,12.102857142857136
2022-04-10,12.102857142857136
2022-04-11,12.102857142857136
2022-04-12,12.102857142857136
2022-04-13,12.102857142857136
2022-04-14,12.102857142857136
2022-04-15,12.102857142857136
2022-04-16,12.102857142857136
2022-04-17,12.102857142857136
2022-04-18,12.102857142857136
2022-04-19,12.102857142857136
2022-04-20,12.102857142857136
2022-04-21,12.102857142857136
2022-04-22,12.102857142857136
2022-04-23,12.102857142857136
2022-04-24,12.102857142857136
2022-04-25,12.102857142857136
2022-04-26,12.102857142857136
2022-04-27,12.102857142857136
2022-04-28,12.102857142857136
2022-04-29,12.102857142857136
2022-04-30,12.102857142857136
2022-05-01,12.102857142857136
2022-05-02,12.102857142857136
2022-05-03,12.102857142857136
2022-05-04,12.102857142857136
2022-05-05,12.102857142857136
2022-05-06,12.102857142857136
2022-05-07,12.102857142857136
2022-05-08,12.102857142857136
2022-05-09,12.102857142857136
2022-05-10,12.102857142857136
2022-05-11,12.102857142857136
2022-05-12,12.102857142857136
2022-05-13,12.102857142857136
2022-05-14,12.102857142857136
2022-05-15,12.102857142857136
2022-05-16,12.102857142857136
2022-05-17,12.102857142857136
2022-05-18,12.102857142857136
2022-05-19,12.102857142857136
2022-05-20,12.102857142857136
2022-05-21,12.102857142857136
2022-05-22,12.102857142857136
2022-05-23,12.102857142857136
2022-05-24,12.102857142857136
2022-05-25,12.102857142857136
2022-05-26,12.102857142857136
2022-05-27,12.102857142857136
2022-05-28,12.102857142857136
2022-05-29,12.102857142857136
2022-05-30,12.102857142857136
2022-05-31,12.102857142857136
2022-06-01,12.102857142857136
2022-06-02,12.102857142857136
2022-06-03,12.102857142857136
2022-06-04,12.102857142857136
2022-06-05,12.102857142857136
2022-06-06,12.102857142857136
2022-06-07,12.102857142857136
2022-06-08,12.102857142857136
2022-06-09,12.102857142857136
2022-06-10,12.102857142857136
2022-06-11,12.102857142857136
2022-06-12,12.102857142857136
2022-06-13,12.102857142857136
2022-06-14,12.102857142857136
2022-06-15,12.102857142857136
2022-06-16,12.102857142857136
2022-06-17,12.102857142857136
2022-06-18,12.102857142857136
2022-06-19,12.102857142857136
2022-06-20,12.102857142857136
2022-06-21,12.102857142857136
2022-06-22,12.102857142857136
2022-06-23,12.102857142857136
2022-06-24,12.102857142857136
2022-06-25,12.102857142857136
2022-06-26,12.102857142857136
2022-06-27,12.102857142857136
2022-06-28,12.102857142857136
2022-06-29,12.102857142857136
2022-06-30,12.102857142857136
2022-07-01,12.102857142857136
2022-07-02,12.102857142857136
2022-07-03,12.102857142857136
2022-07-04,12.102857142857136
2022-07-05,12.102857142857136
2022-07-06,12.102857142857136
2022-07-07,12.102857142857136
2022-07-08,12.102857142857136
2022-07-09,12.102857142857136
2022-07-10,12.102857142857136
2022-07-11,12.102857142857136
2022-07-12,12.102857142857136
2022-07-13,12.102857142857136
2022-07-14,12.102857142857136
2022-07-15,12.102857142857136
2022-07-16,12.102857142857136
2022-07-17,12.102857142857136
2022-07-18,12.102857142857136
2022-07-19,12.102857142857136
2022-07-20,12.102857142857136
2022-07-21,12.102857142857136
2022-07-22,12.102857142857136
2022-07-23,12.102857142857136
2022-07-24,12.102857142857136
2022-07-25,12.102857142857136
2022-07-26,12.102857142857136
2022-07-27,12.102857142857136
2022-07-28,12.102857142857136
2022-07-29,12.102857142857136
2022-07-30,12.102857142857136
2022-07-31,12.102857142857136
2022-08-01,12.102857142857136
2022-08-02,12.102857142857136
2022-08-03,12.102857142857136
2022-08-04,12.102857142857136
