Date,Actual Temperature,Forecasted Temperature (MSE)
2021-05-12,24.8,24.839527378928924
2021-05-13,27.0,26.783952737892893
2021-05-14,27.3,27.24839527378929
2021-05-15,23.4,23.784839527378928
2021-05-16,25.9,25.68848395273789
2021-05-17,27.1,26.95884839527379
2021-05-18,31.0,30.59588483952738
2021-05-19,28.1,28.34958848395274
2021-05-20,27.3,27.404958848395275
2021-05-21,23.5,23.890495884839527
2021-05-22,25.1,24.979049588483957
2021-05-23,28.1,27.787904958848397
2021-05-24,30.0,29.778790495884838
2021-05-25,32.2,31.957879049588488
2021-05-26,30.7,30.825787904958847
2021-05-27,29.2,29.362578790495885
2021-05-28,28.7,28.766257879049586
2021-05-29,25.7,26.00662578790496
2021-05-30,25.5,25.550662578790494
2021-05-31,26.2,26.135066257879046
2021-06-01,24.8,24.933506625787903
2021-06-02,24.6,24.633350662578792
2021-06-03,26.2,26.043335066257878
2021-06-04,26.6,26.54433350662579
2021-06-05,25.9,25.964433350662578
2021-06-06,28.2,27.976443335066257
2021-06-07,29.6,29.437644333506626
2021-06-08,28.0,28.14376443335066
2021-06-09,27.5,27.564376443335064
2021-06-10,28.0,27.956437644333505
2021-06-11,27.8,27.81564376443335
2021-06-12,26.2,26.361564376443333
2021-06-13,28.2,28.01615643764433
2021-06-14,24.5,24.851615643764433
2021-06-15,24.2,24.265161564376445
2021-06-16,28.2,27.80651615643764
2021-06-17,29.6,29.420651615643763
2021-06-18,29.5,29.492065161564376
2021-06-19,30.7,30.579206516156436
2021-06-20,30.9,30.86792065161564
2021-06-21,30.4,30.446792065161564
2021-06-22,31.4,31.304679206516155
2021-06-23,34.1,33.820467920651616
2021-06-24,35.7,35.51204679206516
2021-06-25,35.9,35.861204679206516
2021-06-26,39.2,38.86612046792065
2021-06-27,34.5,34.936612046792064
2021-06-28,34.9,34.9036612046792
2021-06-29,34.9,34.90036612046792
2021-06-30,35.5,35.44003661204679
2021-07-01,37.5,37.29400366120468
2021-07-02,36.4,36.489400366120464
2021-07-03,31.5,31.998940036612048
2021-07-04,31.7,31.729894003661204
2021-07-05,32.3,32.24298940036611
2021-07-06,33.5,33.37429894003661
2021-07-07,34.5,34.38742989400366
2021-07-08,33.4,33.49874298940036
2021-07-09,32.4,32.509874298940034
2021-07-10,32.4,32.410987429894
2021-07-11,32.9,32.8510987429894
2021-07-12,34.4,34.24510987429894
2021-07-13,35.9,35.73451098742989
2021-07-14,35.5,35.52345109874299
2021-07-15,37.0,36.8523451098743
2021-07-16,35.9,35.99523451098743
2021-07-17,33.8,34.01952345109874
2021-07-18,32.2,32.38195234510988
2021-07-19,31.9,31.948195234510987
2021-07-20,32.5,32.444819523451095
2021-07-21,34.7,34.474481952345116
2021-07-22,31.4,31.70744819523451
2021-07-23,31.2,31.250744819523447
2021-07-24,30.2,30.305074481952342
2021-07-25,31.0,30.930507448195236
2021-07-26,33.1,32.88305074481953
2021-07-27,35.6,35.32830507448195
2021-07-28,36.8,36.65283050744819
2021-07-29,38.9,38.67528305074482
2021-07-30,39.5,39.417528305074484
2021-07-31,40.0,39.94175283050745
2021-08-01,38.0,38.19417528305075
2021-08-02,39.7,39.54941752830508
2021-08-03,42.1,41.84494175283051
2021-08-04,39.1,39.374494175283054
2021-08-05,39.6,39.57744941752831
2021-08-06,37.5,37.70774494175283
2021-08-07,33.5,33.920774494175284
2021-08-08,32.8,32.912077449417524
2021-08-09,35.2,34.97120774494176
2021-08-10,36.0,35.89712077449418
2021-08-11,36.1,36.07971207744942
2021-08-12,34.1,34.29797120774494
2021-08-13,34.2,34.209797120774496
2021-08-14,31.1,31.410979712077452
2021-08-15,31.4,31.401097971207744
2021-08-16,33.3,33.11010979712077
2021-08-17,33.3,33.28101097971208
2021-08-18,34.0,33.92810109797121
2021-08-19,32.4,32.55281010979712
2021-08-20,31.9,31.965281010979712
2021-08-21,32.2,32.17652810109797
2021-08-22,31.2,31.297652810109795
2021-08-23,31.2,31.209765281010977
2021-08-24,32.4,32.2809765281011
2021-08-25,32.4,32.38809765281011
2021-08-26,34.1,33.92880976528101
2021-08-27,34.3,34.262880976528095
2021-08-28,32.9,33.03628809765281
2021-08-29,34.5,34.35362880976528
2021-08-30,32.8,32.95536288097653
2021-08-31,31.7,31.825536288097652
2021-09-01,31.9,31.892553628809765
2021-09-02,28.9,29.199255362880972
2021-09-03,28.9,28.929925536288096
