Date,Actual Temperature,Forecasted Temperature (MAD)
2022-02-01,16.5,15.977094809849756
2022-02-02,13.1,13.387709480984974
2022-02-03,9.2,9.618770948098497
2022-02-04,11.4,11.22187709480985
2022-02-05,14.9,14.532187709480985
2022-02-06,15.6,15.493218770948097
2022-02-07,17.9,17.659321877094808
2022-02-08,13.5,13.915932187709481
2022-02-09,12.4,12.551593218770948
2022-02-10,14.4,14.215159321877096
2022-02-11,16.4,16.181515932187708
2022-02-12,16.0,16.01815159321877
2022-02-13,11.9,12.311815159321878
2022-02-14,12.5,12.481181515932187
2022-02-15,14.8,14.568118151593218
2022-02-16,16.8,16.576811815159324
2022-02-17,14.0,14.257681181515931
2022-02-18,18.4,17.98576811815159
2022-02-19,17.5,17.54857681181516
2022-02-20,15.7,15.884857681181515
2022-02-21,19.6,19.22848576811815
2022-02-22,18.6,18.662848576811818
2022-02-23,15.0,15.366284857681181
2022-02-24,11.4,11.796628485768117
2022-02-25,14.2,13.95966284857681
2022-02-26,15.0,14.89596628485768
2022-02-27,15.5,15.439596628485768
2022-02-28,11.0,11.443959662848577
2022-03-01,10.4,10.504395966284859
2022-03-02,8.5,8.700439596628486
2022-03-03,12.4,12.030043959662848
2022-03-04,15.0,14.703004395966286
2022-03-05,14.5,14.520300439596628
2022-03-06,17.3,17.022030043959663
2022-03-07,15.0,15.202203004395965
2022-03-08,13.1,13.310220300439596
2022-03-09,8.2,8.71102203004396
2022-03-10,5.4,5.731102203004396
2022-03-11,5.3,5.343110220300439
2022-03-12,4.2,4.314311022030044
2022-03-13,8.8,8.351431102203005
2022-03-14,9.4,9.295143110220302
2022-03-15,12.9,12.539514311022032
2022-03-16,15.0,14.753951431102204
2022-03-17,16.9,16.68539514311022
2022-03-18,10.4,11.028539514311023
2022-03-19,7.5,7.852853951431102
2022-03-20,6.9,6.995285395143111
2022-03-21,7.3,7.269528539514312
2022-03-22,13.4,12.786952853951432
2022-03-23,9.6,9.918695285395144
2022-03-24,17.5,16.741869528539514
2022-03-25,22.0,21.47418695285395
2022-03-26,17.4,17.807418695285392
2022-03-27,18.9,18.79074186952854
2022-03-28,17.6,17.719074186952856
2022-03-29,18.7,18.601907418695284
2022-03-30,18.5,18.51019074186953
